mfg,mode,dtype,kernel,Batches_per_Step,TimeSteps,BatchSize,HiddenUnits,InputUnits,Compile_Time,sec_per_step,items_per_second,TFLOPS,end_to_end
A100,Training,torch.float32,Kernel,1000,50,32,256,256,0.0,0.000027,36649.620746,1.921496,6.174320
A100,Training,torch.float32,Kernel,1000,25,16,512,512,0.0,0.000036,27862.869679,2.921634,5.323157
A100,Training,torch.float32,Kernel,1000,25,8,512,512,0.0,0.000071,14115.926299,1.480162,5.349641
A100,Training,torch.float32,Kernel,1000,50,16,512,512,0.0,0.000066,15221.371158,3.192153,7.060867
A100,Training,torch.float16,Kernel,1000,50,64,256,256,0.0,0.000008,125438.008210,6.576564,4.451006
A100,Training,torch.float16,Kernel,1000,25,32,512,512,0.0,0.000008,130746.283429,13.709741,4.020633
A100,Training,torch.float16,Kernel,1000,25,16,512,512,0.0,0.000012,85056.672455,8.918839,3.976496
A100,Training,torch.float16,Kernel,1000,50,32,512,512,0.0,0.000012,80549.614289,16.892478,4.310153
